8261,1722,bara mig det cracha för ?,2020-01-31 19:57:17.979051+00
8262,1028,aa,2020-01-31 19:57:22.360419+00
8263,1722,lol,2020-01-31 19:57:29.61048+00
8264,1558,philip får det at fixa så det står hur lång tid cooldown är vid /wild istället att det bara står cooldown.,2020-01-31 19:59:52.183336+00
8265,1028,"det måste till lite programmering för det, men kan skriva upp en bugg på det",2020-01-31 20:00:36.360569+00
8266,1558,yes gör så,2020-01-31 20:00:53.961202+00
8267,1558,hej,2020-02-01 12:53:05.992089+00
8268,1028,tja,2020-02-01 12:53:08.291433+00
8269,1028,välkommen :),2020-02-01 13:32:05.891448+00
8270,1558,välkommen 2cool4r0blox,2020-02-01 13:32:13.294834+00
8271,1558,gör du philip?,2020-02-01 13:34:29.34164+00
8272,1028,bygger lite på muren :) själv?,2020-02-01 13:34:43.091291+00
8273,1558,ok jag sover :),2020-02-01 13:34:53.34163+00
8274,1558,:),2020-02-01 13:35:07.241455+00
8275,1558,dc?,2020-02-01 13:35:12.9916+00
8276,1833,hej,2020-02-01 16:50:47.746271+00
8277,844,hej,2020-02-01 16:50:53.091291+00
8278,1833,har ni en discord?,2020-02-01 16:51:04.191502+00
8279,844,ah den står när du kommer in,2020-02-01 16:51:21.841936+00
8280,1833,ok,2020-02-01 16:51:27.141657+00
8281,1833,tack,2020-02-01 16:51:29.291269+00
8282,1833,men en annan sak....,2020-02-01 16:51:46.941436+00
8283,1833,har en spelare kommit in här som heter opaso?,2020-02-01 16:52:08.84158+00
8284,844,ah,2020-02-01 16:52:29.094921+00
8285,1833,var det ett ja`?,2020-02-01 16:52:43.041474+00
8286,844,ja,2020-02-01 16:52:48.241393+00
8287,1833,är han medlem i eran discord server?,2020-02-01 16:53:25.55091+00
8288,844,tror de,2020-02-01 16:53:43.345084+00
8289,1833,ok,2020-02-01 16:53:50.091399+00
8290,1833,jag hittade han :D,2020-02-01 16:55:44.491719+00
8291,844,okej,2020-02-01 16:56:00.491581+00
8292,1833,tack för hjälpen ville bara det,2020-02-01 16:56:12.041384+00
8293,1833,hej,2020-02-01 17:26:14.341384+00
